Date,PM10
2015-01-01,11.452702173913043
2015-01-02,8.543346666666666
2015-01-03,6.1216550000000005
2015-01-04,10.087734583333333
2015-01-05,6.955855
2015-01-06,10.10784875
2015-01-07,16.190852083333333
2015-01-08,15.085183749999999
2015-01-09,7.148003333333334
2015-01-10,10.910145416666666
2015-01-11,10.10711
2015-01-12,7.42075375
2015-01-13,7.015147916666667
2015-01-14,8.302559166666667
2015-01-15,11.329767916666666
2015-01-16,14.196951666666665
2015-01-17,19.545517083333333
2015-01-18,14.897886666666666
2015-01-19,19.564277916666665
2015-01-20,8.87970125
2015-01-21,31.804445416666667
2015-01-22,31.6917875
2015-01-23,13.42799125
2015-01-24,12.549306666666666
2015-01-25,21.520938333333334
2015-01-26,8.113405416666668
2015-01-27,26.129412916666666
2015-01-28,4.175936666666667
2015-01-29,9.147199166666667
2015-01-30,10.819611250000001
2015-01-31,10.6191175
2015-02-01,11.686415833333333
2015-02-02,13.6376175
2015-02-03,17.015455
2015-02-04,26.136892916666667
2015-02-05,30.691320833333336
2015-02-06,14.312319166666667
2015-02-07,3.02073875
2015-02-08,10.9942675
2015-02-09,7.5310154166666665
2015-02-10,8.452433333333333
2015-02-11,7.519689166666667
2015-02-12,11.488282499999999
2015-02-13,32.266641666666665
2015-02-14,36.623675
2015-02-15,32.31055416666667
2015-02-16,24.261055
2015-02-17,22.053414166666666
2015-02-18,18.734859166666666
2015-02-19,6.082507916666667
2015-02-20,22.336678333333335
2015-02-21,32.87196291666667
2015-02-22,16.4127125
2015-02-23,23.245820833333337
2015-02-24,34.670265416666666
2015-02-25,63.318104166666664
2015-02-26,18.240565
2015-02-27,26.135070416666668
2015-02-28,80.62794583333333
2015-03-01,17.422635833333334
2015-03-02,7.291929166666667
2015-03-03,10.377069166666667
2015-03-04,15.598733333333334
2015-03-05,9.318776666666666
2015-03-06,14.737348333333331
2015-03-07,5.158112916666666
2015-03-08,10.059127083333333
2015-03-09,17.951996666666666
2015-03-10,33.8639
2015-03-11,18.136554166666667
2015-03-12,7.874394166666666
2015-03-13,5.8511500000000005
2015-03-14,16.774342916666665
2015-03-15,13.540469166666666
2015-03-16,31.671751666666665
2015-03-17,22.378242916666668
2015-03-18,22.721216666666667
2015-03-19,40.438977083333334
2015-03-20,49.19889916666667
2015-03-21,10.435134583333333
2015-03-22,9.1869325
2015-03-23,10.372101666666667
2015-03-24,58.37928333333334
2015-03-25,17.80216875
2015-03-26,53.946653043478264
2015-03-27,24.521694166666666
2015-03-28,12.292537916666667
2015-03-29,10.109510833333333
2015-03-30,7.49886625
2015-03-31,7.6320741666666665
2015-04-01,9.947362916666666
2015-04-02,10.404473333333334
2015-04-03,5.9401325
2015-04-04,6.566937916666666
2015-04-05,5.556414166666666
2015-04-06,7.221246666666667
2015-04-07,6.01617625
2015-04-08,18.413300833333334
2015-04-09,15.898295416666668
2015-04-10,23.31930416666667
2015-04-11,53.23013291666666
2015-04-12,16.085048333333333
2015-04-13,12.50829875
2015-04-14,8.34075375
2015-04-15,5.339909166666668
2015-04-16,10.867474166666666
2015-04-17,11.508787916666668
2015-04-18,7.755430416666667
2015-04-19,6.595394583333333
2015-04-20,28.018985416666666
2015-04-21,13.7616775
2015-04-22,14.286550833333331
2015-04-23,19.181942083333336
2015-04-24,11.088148333333335
2015-04-25,23.04359666666667
2015-04-26,19.84486875
2015-04-27,16.18537375
2015-04-28,10.0848425
2015-04-29,10.511337083333332
2015-04-30,18.672183333333333
2015-05-01,8.75520125
2015-05-02,9.12876125
2015-05-03,5.35860625
2015-05-04,15.29886125
2015-05-05,19.132762500000002
2015-05-06,15.594693333333334
2015-05-07,17.66474875
2015-05-08,10.014270416666667
2015-05-09,12.333041666666666
2015-05-10,11.09597375
2015-05-11,5.9834249999999995
2015-05-12,19.797866666666668
2015-05-13,9.338695416666667
2015-05-14,8.057097916666667
2015-05-15,10.702400833333334
2015-05-16,8.39803125
2015-05-17,12.005426666666667
2015-05-18,4.622376249999999
2015-05-19,14.7228075
2015-05-20,10.175214166666667
2015-05-21,11.102421249999999
2015-05-22,9.82887375
2015-05-23,14.771484166666667
2015-05-24,8.431726666666666
2015-05-25,13.935352083333333
2015-05-26,13.363407916666667
2015-05-27,7.6936975
2015-05-28,14.351745000000001
2015-05-29,11.619068749999999
2015-05-30,19.586249583333334
2015-05-31,9.145370833333333
2015-06-01,16.1382875
2015-06-02,11.2991575
2015-06-03,18.301872499999998
2015-06-04,11.150662083333332
2015-06-05,7.860317916666666
2015-06-06,24.996534166666667
2015-06-07,9.805945416666667
2015-06-08,10.63338875
2015-06-09,9.209742499999999
2015-06-10,5.334575454545455
2015-06-11,14.576929166666666
2015-06-12,45.38761625
2015-06-13,14.061096666666666
2015-06-14,15.913592083333333
2015-06-15,10.458749166666667
2015-06-16,10.55372625
2015-06-17,11.868926250000001
2015-06-18,13.56199375
2015-06-19,6.836360416666667
2015-06-20,7.13373375
2015-06-21,9.677718333333333
2015-06-22,9.358312916666668
2015-06-23,6.169182500000001
2015-06-24,10.860758333333335
2015-06-25,10.16654375
2015-06-26,7.888587083333333
2015-06-27,9.238790625
2015-06-28,8.661846428571428
2015-06-29,8.535702916666667
2015-06-30,11.784740416666667
2015-07-01,8.336187777777777
2015-07-02,7.941645
2015-07-03,17.432000833333333
2015-07-04,37.283635833333335
2015-07-05,42.96975333333333
2015-07-06,31.04100166666667
2015-07-07,9.886579583333333
2015-07-08,14.154310833333334
2015-07-09,10.188922916666668
2015-07-10,10.310353333333333
2015-07-11,8.637726666666667
